         289138062 function calls (289131433 primitive calls) in 1618.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1111.520 1111.520 1262.704 1262.704 linalg.py:110(point_descent)
        2  180.066   90.033 1618.531  809.265 main.py:1(<module>)
      132    0.001    0.000    0.001    0.000 deprecation.py:23(_generate_deprecation_message)
      625    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      870    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     1433    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
        1    0.001    0.001    0.001    0.001 art3d.py:509(Poly3DCollection)
      290    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1592    0.001    0.000    0.001    0.000 artist.py:1225(is_alias)
      429    0.001    0.000    0.005    0.000 pyparsing.py:1300(copy)
     2006    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      719    0.001    0.000    0.001    0.000 posixpath.py:64(isabs)
       13    0.001    0.000    0.002    0.000 enum.py:633(<listcomp>)
      270    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1033    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     3950    0.001    0.000    0.001    0.000 inspect.py:2515(name)
      352    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      799    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      129    0.000    0.000    0.001    0.000 inspect.py:613(cleandoc)
       19    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
      312    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       79    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1033    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      350    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
     1900    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2006    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      870    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.003    0.003 pyplot.py:2043(_setup_pyplot_info_docstrings)
     1223    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
      213    0.000    0.000    0.004    0.000 __init__.py:540(dedent)
      429    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.005    0.005 core.py:21(<module>)
      341    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      222    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       31    0.000    0.000    0.007    0.000 _collections_abc.py:824(update)
      185    0.000    0.000    0.016    0.000 sre_compile.py:598(_code)
      491    0.000    0.000    0.006    0.000 colors.py:121(is_color_like)
      254    0.000    0.000    0.005    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
       65    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3558(__init__)
  211/178    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
     1260    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      431    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       85    0.000    0.000    0.000    0.000 docstring.py:40(__call__)
